date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2012-02-24,sh.000986,3299.0900,3371.7400,3296.2300,3356.5500,3293.8900,903428800,12977020000.0000,3,0.003047,1,1.902315,0
2012-02-27,sh.000986,3375.5900,3412.0000,3354.7500,3355.2300,3356.5500,906828500,12557600000.0000,3,0.003058,1,-0.039328,0
2012-02-28,sh.000986,3339.7000,3355.5100,3304.2400,3333.5200,3355.2300,600033000,8186280000.0000,3,0.002024,1,-0.647048,0
2012-02-29,sh.000986,3321.4300,3350.9600,3298.3500,3299.5200,3333.5200,439372700,6081760000.0000,3,0.001482,1,-1.019943,0
2012-03-01,sh.000986,3284.6200,3321.2500,3282.9100,3300.8300,3299.5200,331602800,4635650000.0000,3,0.001118,1,0.039705,0
2012-03-02,sh.000986,3316.3400,3375.4900,3316.3400,3364.9800,3300.8300,533058200,7545230000.0000,3,0.001798,1,1.943448,0
2012-03-05,sh.000986,3369.0200,3393.3700,3350.1400,3352.7200,3364.9800,503792000,7424660000.0000,3,0.001698,1,-0.364341,0
2012-03-06,sh.000986,3343.5900,3344.3700,3276.5900,3284.7000,3352.7200,548171500,7452740000.0000,3,0.001848,1,-2.028801,0
2012-03-07,sh.000986,3252.1500,3289.8400,3237.4200,3240.0200,3284.7000,437133800,6107360000.0000,3,0.001474,1,-1.360244,0
2012-03-08,sh.000986,3255.8600,3294.0500,3253.6800,3281.8800,3240.0200,387316300,5428000000.0000,3,0.001306,1,1.291963,0
2012-03-09,sh.000986,3296.1300,3365.2000,3296.1300,3356.5600,3281.8800,550775100,8693240000.0000,3,0.001857,1,2.275530,0
2012-03-12,sh.000986,3359.4700,3360.2500,3316.4600,3337.5400,3356.5600,465703500,6896340000.0000,3,0.001570,1,-0.566652,0
2012-03-13,sh.000986,3336.7400,3382.7400,3318.6000,3377.2700,3337.5400,625180800,8365510000.0000,3,0.002107,1,1.190397,0
2012-03-14,sh.000986,3393.6000,3397.5800,3234.9500,3249.2700,3377.2700,913231600,12500430000.0000,3,0.003078,1,-3.790043,0
2012-03-15,sh.000986,3246.2300,3273.6500,3197.0600,3223.9800,3249.2700,627386300,8419010000.0000,3,0.002115,1,-0.778330,0
2012-03-16,sh.000986,3231.5100,3268.6700,3206.5400,3265.3500,3223.9800,499462800,6849800000.0000,3,0.001684,1,1.283200,0
2012-03-19,sh.000986,3261.3200,3302.2800,3237.1500,3301.2900,3265.3500,560084400,7838960000.0000,3,0.001888,1,1.100646,0
2012-03-20,sh.000986,3316.0300,3350.1300,3255.9100,3256.7900,3301.2900,660004100,9155850000.0000,3,0.002225,1,-1.347958,0
2012-03-21,sh.000986,3270.0400,3330.2900,3243.8900,3298.7100,3256.7900,632779200,9301580000.0000,3,0.002133,1,1.287155,0
2012-03-22,sh.000986,3301.4200,3306.1800,3257.7600,3270.3600,3298.7100,410154600,6022790000.0000,3,0.001383,1,-0.859422,0
2012-03-23,sh.000986,3261.2900,3263.7100,3194.4500,3207.5000,3270.3600,433313700,6348900000.0000,3,0.001461,1,-1.922116,0
2012-03-26,sh.000986,3204.6300,3226.1500,3189.5100,3208.7400,3207.5000,255730400,3722980000.0000,3,0.000862,1,0.038659,0
2012-03-27,sh.000986,3226.2600,3235.4000,3193.2100,3196.8600,3208.7400,264433300,3734270000.0000,3,0.000891,1,-0.370235,0
2012-03-28,sh.000986,3182.1500,3182.2700,3055.1200,3063.2500,3196.8600,435537900,5927920000.0000,3,0.001468,1,-4.179417,0
2012-03-29,sh.000986,3051.1300,3054.8900,2983.5800,2996.1500,3063.2500,362628300,4716640000.0000,3,0.001222,1,-2.190487,0
